	HS578T	MCF7	MDA-MB-231	T47D	ZR-75B
PKN2	21.2904	9.60907	48.1399	9.80288	13.366
PKN3	1.49609	5.93528	11.7924	8.32226	12.8238
PKNOX1	8.30041	3.64964	8.91077	6.97426	6.198
PKNOX2	5.12145	0	0.0184911	0	0.215217
PKP1	0	14.6602	0.0135306	0.0424727	0
PKP2	0.158477	7.71547	19.2061	7.64903	11.4597
PKP3	5.32839	47.0956	19.7719	63.77	34.0147
PKP4	16.4651	34.908	30.2559	30.9145	20.7391
PKP4P1	2.33596	4.27509	4.85357	4.71354	3.50531
PLA1A	0	0.0299238	0	0.0207034	0.0175265
PLA2G10	0	0.311056	0	0.182425	0.0796372
PLA2G12A	13.0057	13.4669	4.79295	17.0214	21.7686
PLA2G12AP1	2.9949	5.79138	1.66852	6.04974	9.37926
PLA2G12AP2	0	0	0	0	0
PLA2G12B	0	0.0399032	0	0	0.0276176
PLA2G15	16.9149	7.4794	11.7892	15.159	14.4494
PLA2G16	6.18887	5.4114	68.3651	54.6768	0.0565632
PLA2G1B	0.116823	0	0	0.154382	0
PLA2G2A	0.337746	0	0	0	0.108474
PLA2G2C	0	0	0	0	0.00875731
PLA2G2D	0	0	0	0	0
PLA2G2E	0	0	0	0	0
PLA2G2F	0	0	0	0.0160986	0.00682385
PLA2G3	0.0382584	14.5068	0.938857	1.07466	0
PLA2G4A	0.442543	0	5.04052	2.06144	5.18854
PLA2G4B	0.0226537	1.92058	0.994896	0.0965145	0.382063
PLA2G4C	0.815239	2.28018	0.567311	3.79456	1.38024
PLA2G4D	0	0	0	0.0101141	0
PLA2G4E	0	0.0100079	0.00718814	0.0163573	0
PLA2G4F	0	0.820436	0	6.43571	1.68913
PLA2G5	0.0716103	0	0	0	0
PLA2G6	15.8467	21.1598	4.55225	4.20177	2.7114
PLA2G7	0.045814	0	0	0.20031	0.101751
PLA2R1	4.58947	0.439537	1.63636	1.83198	1.05114
PLAA	17.7447	14.8706	19.9758	15.406	23.0038
PLAC1	0.0819444	0.676286	6.09333	0.485455	2.51015
PLAC1L	0	0	0	0	0
PLAC2	0.0272146	10.0206	0.0471326	5.33552	6.07265
PLAC8	0	0.200084	40.8358	0.0493318	0
PLAC8L1	0	0	0.171748	0.0675905	0.170761
PLAC9	9.06849	0.506512	0.411131	0	0.0423767
PLAG1	1.97305	0	1.90679	0.0549659	0.317352
PLAGL1	0	3.60965	0	0.0241623	0.0723068
PLAGL2	3.38545	5.08885	9.03787	11.0409	13.1254
PLAT	66.6767	0.046712	41.6892	0.210261	0.403393
PLAU	121.353	0.113627	124.367	0.433678	0.131897
PLAUR	60.9947	1.79792	86.0566	1.07399	3.53678
PLB1	0.782204	0	0.327169	0.0803612	0
PLBD1	0.107005	6.24449	7.50018	5.91489	0.0762854
PLBD2	35.4053	15.6407	30.8814	20.8993	14.8423
PLCB1	23.8535	4.59987	14.1949	6.55403	1.97289
PLCB1-IT1	0	0	0	0	0
PLCB2	0.584408	2.51165	10.5659	0.19045	1.48894
PLCB2-AS1	0	0	0.282262	0	0
PLCB3	21.4202	18.4172	24.5835	19.037	14.5989
PLCB4	4.16862	3.1525	0.0163222	8.68648	5.50796
PLCD1	2.38286	6.52779	3.28051	2.89138	1.57422
PLCD3	36.6199	53.2535	85.613	102.436	47.2665
PLCD4	2.37945	1.61218	2.50626	2.91105	1.26398
PLCE1	4.96703	0.0731354	10.3779	9.25526	1.06876
PLCG1	36.1739	118.418	40.6664	40.6364	50.5074
PLCG2	0	2.55527	2.673	2.59677	2.01058
PLCH1	0.122416	4.36594	2.36855	3.07058	2.2316
PLCH1-AS1	0	0	0	0	0.0466998
PLCH1-AS2	0	0	0	0	0
PLCH2	1.22425	0.702243	2.33638	0.0813091	0.312882
PLCL1	0	0	0	0	0
PLCL2	2.75393	0.0735824	3.60142	0.0141255	1.91349
PLCL2-AS1	0	0	0	0	0
PLCXD1	7.05589	4.01889	0.918937	25.4076	21.7417
PLCXD2	3.72584	0.0613693	2.67006	1.99887	0.908101
PLCXD2-AS1	0.28149	0	0	0	0
PLCXD3	1.22851	0.0371573	0	0	0.0147121
PLCZ1	0.465748	0	0	0	0
PLD1	1.4683	1.39868	4.33031	6.76898	3.39551
PLD2	10.4721	16.7462	12.4489	8.30986	8.14357
PLD3	123.578	161.742	86.0394	108.718	75.3726
PLD4	0	0.152972	0	0.184406	0.0560992
PLD5	0	0	1.31596	0.0466943	6.71277
PLD6	2.30911	9.70892	1.64423	2.49714	5.50768
PLEC	170.779	50.2691	120.571	40.5318	37.9426
PLEC	0	0	0	0	0
PLEK	0.0179218	0	0.0206955	0	0.00997814
PLEK2	0.378445	6.02162	27.6717	9.93397	0.150643
PLEKHA1	7.51406	4.1394	6.13047	6.99149	12.9157
PLEKHA2	4.44036	2.46747	4.85951	6.0343	1.37899
PLEKHA3	8.75926	4.59743	5.68072	2.89841	2.43064
PLEKHA4	5.53943	7.16594	2.77232	2.99114	0.123154
PLEKHA5	10.6003	5.37862	15.2421	3.01063	15.5255
PLEKHA6	0.254825	26.6302	14.8381	44.0107	13.6499
PLEKHA7	0.544784	12.2652	5.83907	6.51507	7.02077
PLEKHA8	2.24536	2.58189	3.40571	4.34747	7.05691
PLEKHA8P1	7.56274	2.88766	5.22584	8.08556	8.54093
PLEKHB1	0.143534	3.25999	2.15791	4.08328	0.0145177
PLEKHB2	43.3279	41.1823	56.0732	24.8869	28.9182
PLEKHD1	0	0.21182	0	2.87975	0.130384
PLEKHF1	8.1158	2.03786	1.98033	10.6109	5.75241
PLEKHF2	9.8351	11.9148	7.19015	20.5029	31.1574
PLEKHG1	0	0.424089	0.507206	0.0240087	0.958552
PLEKHG2	14.7841	5.0215	12.4643	11.0741	14.5844
PLEKHG3	4.78374	8.79045	8.91776	13.5639	16.6865
PLEKHG4	17.085	14.3839	32.7504	1.10465	29.675
PLEKHG4B	0.398689	0.146097	0.0700892	14.6028	0.0606271
PLEKHG5	8.05315	11.2247	1.19548	5.2008	6.3492
PLEKHG6	0.0951993	9.33903	0.19817	6.4415	0.522484
PLEKHG7	0	0	0	0.0418338	0
PLEKHH1	0.245433	14.8077	3.55211	12.7617	13.2129
PLEKHH2	0.880604	1.11087	3.06069	0.248463	0.358016
PLEKHH3	5.54613	29.7686	8.87807	34.552	24.3849
PLEKHJ1	24.43	25.5076	35.6352	64.6994	46.6988
PLEKHM1	6.26542	6.40067	11.9399	9.76152	8.52914
PLEKHM1	0	0	0	0	0
PLEKHM1P	1.96105	6.67954	4.23532	4.3767	3.84536
PLEKHM2	37.4962	16.978	17.0423	11.3793	9.1027
PLEKHM3	2.27986	1.41973	2.39908	0.720722	0.434053
PLEKHN1	1.22413	3.3734	2.67001	1.39831	3.18407
PLEKHO1	43.0279	2.71692	8.97186	1.90659	20.963
PLEKHO2	3.40054	1.28977	7.54608	2.16641	1.60447
PLEKHS1	0	0.024248	0.0346532	1.04549	3.99174
PLG	0.00526033	0.0474512	0.0225301	0.0379586	0.00585717
PLGLA	0.0868869	0.249786	0.118771	0.0209338	0
PLGLB1	0.404406	1.49483	0.588634	0.252251	0.0309314
PLGLB2	0.272793	0.879718	0.742161	0.0640341	0.0976064
PLGRKT	23.7917	17.02	21.4592	33.1012	34.7327
PLIN1	0.0177192	0.384554	0.194394	0.0116418	0.062334
PLIN2	0.149682	1.91478	34.7362	13.5968	5.03121
PLIN3	68.2785	40.3766	88.9288	47.5367	30.8845
PLIN4	0.0394033	3.06547	1.83685	0.481259	0.0555867
PLIN5	0	8.81421	0.072988	2.26973	0
PLK1	68.3573	27.7628	57.1197	73.6391	70.5555
PLK1S1	3.09851	3.81187	3.51737	1.95142	2.3049
PLK2	77.0806	5.01954	25.8981	56.9962	5.90014
PLK3	4.29883	2.67066	6.02307	0.362278	1.00351
PLK4	15.4319	5.33024	16.7643	5.65477	23.0643
PLK5	0	0.340138	0.0373621	0.0717805	1.25412
PLLP	0.153882	1.1875	10.0184	5.43894	0.177853
PLN	0.23669	0	0.0151891	0	0
PLOD1	144.564	32.5194	49.8612	31.8286	38.8237
PLOD2	59.537	12.0623	32.547	40.9093	18.1115
PLOD3	55.5718	46.2628	48.1972	11.9041	16.5237
PLP1	0.017739	0.269748	0.255998	0.231767	0.216877
PLP2	124.486	27.7567	107.147	153.865	166.834
PLP2	0	0	0	0	0
PLRG1	39.9916	14.5872	54.937	29.0688	50.4937
PLS1	1.4882	7.92203	25.502	29.5662	19.5449
PLS1-AS1	0	0	0	0	0
PLS3	252.835	54.4302	100.72	47.6714	50.5267
PLS3	0	0	0	0	0
PLSCR1	30.307	14.0859	31.5916	14.1543	13.841
PLSCR2	0	0	0	0.0750285	0
PLSCR3	50.0862	25.0276	28.6768	31.636	13.8202
PLSCR4	18.9735	0.198246	7.72558	0.222849	1.08718
PLSCR5	0	0	0	0	0
PLSCR5-AS1	0	0	0	0	0
PLTP	12.0966	3.16596	1.34071	1.39473	0.0852069
PLVAP	0	0.0726605	0.0130506	0	0
PLXDC1	0.4033	0.926972	0.487024	0.230005	1.22144
PLXDC2	0.0547086	1.19461	1.83155	2.2034	3.10407
PLXNA1	95.5371	9.92501	61.9739	24.554	23.4846
PLXNA2	1.57586	0.112627	19.0615	0.378296	2.26802
PLXNA3	5.38897	23.1296	12.7952	7.78966	16.037
PLXNA3	0	0	0	0	0
PLXNA4	5.01328	0.0698849	0.0981836	0.00496411	0.057647
PLXNB1	4.73962	21.1636	2.72076	11.1552	8.23266
PLXNB2	36.4139	120.636	46.9534	81.1523	51.7892
PLXNB3	2.81933	11.1135	3.53563	5.20493	3.15333
PLXNB3	0	0	0	0	0
PLXNC1	0.183491	0.176501	2.31187	0.0377826	0.249719
PLXND1	18.0115	14.8881	42.9552	30.7417	19.103
PM20D1	0	0	0	0	0.027784
PM20D2	0.181907	2.69181	13.1923	0.0421651	0.35303
PMAIP1	21.221	4.22929	14.1707	1.21891	5.0174
PMCH	0	0.11779	0.300634	0.14674	0.119069
PMCHL1	0	0	0	0	0
PMCHL2	0	0	0	0	0
PMEL	1.19334	8.75042	2.3887	3.91771	1.91212
PMEPA1	27.369	14.2284	2.57527	26.3623	31.2885
PMF1	25.5996	57.9908	35.1958	75.3876	63.3102
PMFBP1	0.0945583	0.824085	1.02368	0.0629535	0.478654
PML	12.5142	18.6775	17.6905	8.40724	3.3496
PMM1	63.3728	27.2874	31.7935	18.8018	12.3615
PMM2	17.4512	25.7852	19.1514	29.1422	40.1487
PMM2P1	0	0	0	0.0549601	0.0463484
PMP2	0.0140983	0	0	0.00926091	0
PMP22	78.4846	0.561532	61.9669	0.361417	5.61326
PMPCA	18.7166	59.4441	24.5858	85.9771	67.5849
PMPCB	37.9705	109.194	67.497	35.1809	50.5826
PMS1	7.29855	4.61696	8.65743	3.32093	7.9012
PMS2	5.30433	14.2777	9.05182	19.4474	14.3187
PMS2CL	3.25306	8.06972	5.8165	7.60893	8.70752
PMS2P1	2.16453	8.8873	6.1386	4.54763	2.89186
PMS2P10	0.505566	0.993605	0.613308	1.70147	0.639619
PMS2P11	0.12505	0.248649	0.0625531	0.189858	0.119163
PMS2P2	0.6102	1.80336	0.671503	2.13933	0.889476
PMS2P3	1.67499	6.23207	5.59048	6.59516	4.0926
PMS2P3	0	0	0	0	0
PMS2P4	0.559306	2.10021	2.34723	5.11778	2.15301
PMS2P5	1.2048	3.52641	1.32166	5.13883	3.01103
PMS2P9	0.144012	0.267664	0.124689	0.101536	0.13073
PMVK	17.4973	31.5435	18.0247	98.3448	66.8465
PNCK	0.27881	0.801728	0.0885493	0.408828	0.20142
PNCK	0	0	0	0	0
PNISR	19.9775	29.1011	32.5236	13.932	26.8509
PNKD	20.5516	34.2453	20.6075	27.4441	24.0472
PNKP	12.7516	10.4804	17.6929	5.17438	10.6299
PNLDC1	0	0	0.0168713	0.0192027	0.0162588
PNLIP	0	0	0	0	0
PNLIPRP1	0	0.135404	0	0	0
PNLIPRP1	0	0	0	0	0
PNLIPRP2	0	0	0	0.136807	0
PNLIPRP2	0	0	0	0	0
PNLIPRP3	0	0	0	0	0
PNMA1	35.5837	17.728	24.3277	51.7998	11.2972
PNMA2	14.8858	0.207607	9.68874	0.100102	0.0987348
PNMA3	0	0	0	0.0106448	0.0270649
PNMA5	0	0	0	0	0
PNMA5	0	0	0	0	0
PNMA6A	0	0.182411	0	0	2.00265
PNMA6B	0	0.126971	0	0	1.39723
PNMA6B	0	0	0	0	0
PNMA6C	0	0.285684	0	0	1.06565
PNMA6D	0	0.275352	0	0	0.840437
PNMA6D	0	0	0	0	0
PNMAL1	6.92035	0	3.60528	0.200393	0.0426067
PNMAL2	0	0	0	0	0
PNMT	0	0.0768051	0	0.202833	0
PNN	40.8878	57.4123	83.5336	35.1312	89.3524
PNO1	11.104	8.93716	11.3337	8.66366	13.7066
PNOC	0	0.0455008	0	0	0
PNP	31.5146	37.2028	114.251	61.5199	137.28
PNPLA1	0.0355433	0.0285727	0.102785	0	0.019783
PNPLA2	30.263	73.2947	77.2691	33.5451	48.3991
PNPLA3	6.86858	0.718266	1.63544	8.84315	5.3743
PNPLA4	4.47202	4.81587	5.444	6.13951	13.5608
PNPLA4P1	0	0	0	0	0
PNPLA5	0.0263128	0	0	0	0
PNPLA6	56.1635	35.6417	35.2844	15.1102	10.7652
PNPLA7	0	1.58883	0.281973	1.83459	0.224587
PNPLA8	13.4812	11.9481	11.3673	6.76934	3.62678
PNPO	7.05823	13.4589	10.9972	26.6245	44.7676
PNPT1	7.88834	6.41947	10.699	7.36601	16.7956
PNPT1P1	0.337427	0.198896	0.181867	0.236537	0.400749
PNPT1P2	0	0	0	0	0
PNRC1	2.95232	24.1961	11.462	11.9983	4.57473
PNRC2	98.8731	66.414	66.2437	55.2046	61.5057
PNRC2	0	0	0	0	0
POC1A	20.4071	5.64034	21.8141	20.9665	13.612
POC1B	5.00031	28.7972	24.0368	19.9669	18.0641
POC1B-GALNT4	0.640343	0.675969	1.51271	1.54298	1.57569
POC5	11.3065	5.11647	7.80808	8.61734	13.0183
PODN	0.950929	0	0	0	0
PODNL1	0.785669	1.24619	0.392665	0.10643	0.279271
PODXL	15.7177	2.92914	62.3103	2.4339	9.986
PODXL2	0.143498	14.4372	3.01789	8.98327	53.6652
POF1B	0.0720729	1.3096	0.0416086	0.71079	1.81643
POFUT1	42.1746	14.981	24.3958	33.448	21.2371
POFUT2	36.8137	16.8701	12.0447	8.72968	3.08875
POGK	13.6929	24.6877	20.3742	36.6059	39.7242
POGLUT1	10.2557	5.57623	7.7531	7.62141	4.65604
POGZ	9.09635	49.7877	24.8451	24.0867	37.3193
POLA1	7.93669	5.27689	12.1942	15.7251	12.2975
POLA2	46.2422	10.2865	17.0061	54.1591	42.3008
POLB	24.7976	14.4349	6.55646	24.3815	29.6399
POLD1	20.6678	15.0142	34.7571	15.6062	32.6085
POLD2	100.719	62.7725	111.007	143.907	226.434
POLD2P1	0.229018	0.0460346	0.297941	0.603212	0.637098
POLD3	18.0796	7.94207	18.5709	13.098	11.4799
POLD4	36.1804	71.4541	28.3498	66.1531	42.1175
POLDIP2	54.3281	68.7045	49.7621	138.081	72.6978
POLDIP2	0	0	0	0	0
POLDIP3	41.5129	31.2686	41.4154	36.8814	20.8309
POLE	11.7395	16.2887	26.597	28.7536	29.9001
POLE2	4.24916	6.7969	33.8788	14.746	25.3239
POLE3	38.6738	45.3852	41.2298	80.3365	53.1892
POLE4	74.2149	26.7768	45.9817	22.6263	10.4418
POLG	15.6672	30.5335	28.1451	23.0385	13.8922
POLG2	6.00045	19.9788	14.8172	12.1821	20.7039
POLG2	0	0	0	0	0
POLH	12.4406	8.87116	8.49191	11.9022	5.92405
POLHP1	0	0	0.0869113	0	0.0832161
POLI	9.05147	24.1073	4.14704	10.1292	9.7979
POLK	11.636	2.91883	7.2484	5.18683	11.9334
POLL	6.40192	34.7731	12.4312	29.718	19.7556
POLM	4.20486	13.6834	15.3601	9.85027	9.56254
POLN	0.202924	0.356061	0.101999	0.161612	1.18216
POLQ	6.66354	0.725192	4.04794	3.46723	6.8447
POLR1A	11.1789	10.7682	18.1357	12.1146	15.7398
POLR1B	8.99746	21.3757	13.7818	14.9823	13.5357
POLR1C	34.0551	36.1606	26.2709	36.5367	22.7864
POLR1D	34.5424	189.908	49.0145	36.4447	63.9796
POLR1E	30.3898	19.8504	31.3276	17.2727	18.8242
POLR2A	22.2365	30.3201	42.1114	49.6219	38.7717
POLR2B	48.8458	39.5185	72.785	39.6725	62.1157
POLR2C	37.8204	39.2158	66.2108	41.3372	33.6045
POLR2CP	0	0	0	0	0
POLR2D	15.9945	17.1759	18.378	25.6436	17.739
POLR2E	135.402	93.681	151.964	117.748	121.811
POLR2F	118.475	49.2603	105.935	74.0365	60.1916
POLR2G	94.957	121.406	77.2388	230.409	44.851
POLR2H	44.9567	125.811	34.454	153.395	85.4304
POLR2I	48.656	45.1919	52.7584	47.0637	77.2299
POLR2J	35.0524	108.587	55.3655	45.503	86.7117
POLR2J2	2.62934	14.9284	9.62653	3.99925	9.12479
POLR2J2	3.61844	18.1818	9.47059	2.64789	9.6788
POLR2J3	14.9831	66.712	27.3805	19.1869	44.1279
POLR2J4	9.7028	31.9455	17.7039	16.0631	25.9947
POLR2K	65.5387	28.405	46.5849	57.974	42.697
POLR2KP1	0	0	0	0	0
POLR2KP2	0	0	0	0	0
POLR2L	238.65	93.8936	364.75	229.475	227.082
POLR2LP	0	0	0	0	0
POLR2LP	0	0	0	0	0
POLR2LP	0	0	0	0	0
POLR2LP	0	0	0	0	0
POLR2LP	0	0	0	0	0
POLR2LP	0	0	0	0	0
POLR2M	11.4954	12.6387	22.1204	19.8248	11.6056
POLR3A	8.08211	9.97816	11.2076	17.315	35.9514
POLR3B	4.78959	2.38908	4.75546	8.96121	7.86648
POLR3C	21.4252	24.3393	23.452	22.7488	21.0852
POLR3C	0	0	0	0	0
POLR3D	37.3771	24.3436	13.6431	16.3523	9.7653
POLR3E	13.6683	34.7299	17.889	20.9411	26.93
POLR3F	8.0543	8.21907	8.09845	7.58701	5.70699
POLR3G	3.05548	0.936606	4.86651	2.07242	6.49526
POLR3GL	13.1602	30.0095	21.5009	11.1572	21.3616
POLR3GL	0	0	0	0	0
POLR3H	75.9951	14.7694	33.4277	21.9595	29.9418
POLR3K	6.84848	21.8173	17.4051	19.6812	24.6204
POLR3KP1	0	0	0	0	0
POLR3KP2	0	0	0	0	0
POLRMT	19.5752	23.5552	20.6281	16.0619	13.387
POLRMTP1	2.67465	3.01293	4.34155	2.9221	2.17343
POM121	11.4485	17.9675	27.0219	26.5818	23.6272
POM121	0	0	0	0	0
POM121B	5.11418	9.72193	13.063	11.9586	11.2594
POM121B	0	0	0	0	0
POM121C	15.7558	22.2127	33.9129	28.1563	23.0208
POM121C	0	0	0	0	0
POM121L10P	0.0677696	0.0486522	0.0210631	0.0101462	0.0239641
POM121L12	0	0	0	0	0
POM121L13P	0	0	0	0	0
POM121L14P	0	0.0277646	0	0	0.019224
POM121L1P	0.0258542	0.00861577	0	0	0.00759388
POM121L2	0	0	0.010172	0	0.137607
POM121L3P	0	0	0	0	0
POM121L4P	0.0215543	0	0	0	0
POM121L6P	0.0332226	0.00242787	0.0191928	0.00218467	0.00801323
POM121L7	0.0468386	0.0155083	0	0	0.0087974
POM121L8P	0.056248	0	0	0	0.011952
POM121L9P	0.313402	0.07787	0.0818462	0.012727	0.102571
POMC	0	0	0	0	0
POMGNT1	43.9307	23.5342	31.6184	26.0557	19.5039
POMP	62.3251	35.7526	67.52	49.9056	58.7708
POMT1	9.0456	20.1108	10.3071	33.332	13.0349
POMT2	18.4361	10.2625	12.1422	25.8687	11.0741
POMZP3	9.36954	7.70985	12.4023	14.3271	27.2093
PON1	0	0	0.164039	8.04E-144	0
PON2	53.344	14.1299	25.9409	24.0196	46.3155
PON3	0	0.0896971	5.53407	15.8122	0
POP1	29.601	2.50147	8.55414	12.6737	5.14934
POP4	63.6779	38.1251	52.1386	69.7234	93.978
POP5	29.0088	33.8147	35.1192	64.6775	34.7534
POP7	21.9866	35.1569	34.8624	20.028	36.4
POPDC2	0.0829222	0.111618	0.149883	0.260248	0.0600603
POPDC3	6.79242	0.354954	18.1089	0.326999	2.20892
POR	22.0483	37.001	38.4968	70.7787	45.3024
POR	0	0	0	0	0
PORCN	8.67777	3.96364	2.26612	7.27228	4.67954
PORCN	0	0	0	0	0
POSTN	1551.81	0.0372792	0.0921349	0.031667	0.027869
POT1	13.789	7.78383	10.9697	5.5768	4.90132
POTEA	0	0	0	0	0
POTEB	0	0	0.00560187	0	0
POTEB	0	0	0.00610821	0	0
POTEC	0.00761642	0	0.0395638	0.00500124	0
POTED	0	0	0.0670846	0	0
POTEE	0.525329	1.62716	3.27E-07	3.78E-07	0.0188699
POTEE	3.00307	1.01245	2.15216	2.95437	1.86272
POTEF	1.17133	2.03936	0.292753	0.361291	0.243763
POTEG	0.0114305	0.00653802	0.00101859	0.00695294	0.294669
POTEH	0.0039094	0	0	0	0.154534
POTEH-AS1	0	0	0	0	0
POTEI	0.263296	0.984201	1.21E-11	1.64E-11	0.013186
POTEJ	0.120675	0.447977	3.68E-10	4.91E-10	0.00478189
POTEKP	0.0870257	0.996807	0	0.00315333	0
POTEM	0.0114305	0.00653896	0.00101874	0.00695394	0.277732
POU1F1	0	0	0	0	0
POU2AF1	0.103515	0	0.00894799	0.0101816	0
POU2F1	1.19254	4.00636	3.77465	2.65604	4.74657
POU2F2	0.312572	0.0708465	0.235397	0.128997	0.238502
POU2F3	0	3.71025	0.0317255	5.65672	1.24663
POU3F1	0	0.0140995	0	0	0.107434
POU3F2	0.2729	0.0199396	2.0623	0.659947	0.821937
POU3F3	0	0.325931	0	0.0066582	0
POU3F4	0	0	0	0	0
POU4F1	0	0	0	0	0
POU4F1-AS1	0.0961375	0.110416	0.0690524	0.0378092	0.0456817
POU4F2	0	0	0.00939864	0	0
POU4F3	0	0.0378264	0.0543885	0	0
POU5F1	0.572161	0.361685	0.486426	0.356249	0.224818
POU5F1	0	0	0	0	0
POU5F1	0	0	0	0	0
POU5F1	0	0	0	0	0
POU5F1	0	0	0	0	0
POU5F1	0	0	0	0	0
POU5F1	0	0	0	0	0
POU5F1B	0.101815	0.177537	0.0294101	0	0.0104333
POU5F1P2	0	0	0	0	0
POU5F1P3	0.280669	0.412472	0.107509	0.0306313	0.116722
POU5F1P4	0.109639	0.0834655	0	0	0.0288785
POU5F1P5	0.178205	0	0	0	0
POU5F1P6	0.0577282	0	0	0	0
POU5F1P7	0	0	0	0	0
POU5F2	0	0	0	0	0.0228401
POU6F1	3.90745	0.909495	2.23348	2.77958	1.48167
POU6F2	0	0.854235	0	8.68458	0.00470417
POU6F2-AS1	0	0	0	0	0
POU6F2-AS2	0	0.955819	0	1.56042	0
PP12708	0	0.0883661	0	0	0
PP13004	0	0	0	0	0
PP13439	0.0176817	0.0284236	0.10209	0.0464682	0.0590671
PP2D1	0	0.184819	0.0702646	0.0319865	0.2425
PPA1	46.6436	78.9396	98.7653	63.4111	97.9715
PPA2	34.2256	93.1465	67.723	93.413	110.373
PPAN	31.4668	34.983	31.2762	25.6625	27.3463
PPAN-P2RY11	0.000177246	0.00134309	9.06E-05	0.000104511	1.40381
PPAP2A	20.3372	3.07833	11.5854	15.0557	6.38267
PPAP2B	34.9521	4.58535	8.68709	2.82113	1.12291
PPAP2C	18.4778	70.2036	38.9087	29.7805	19.6959
PPAPDC1A	16.1884	0	0.483952	1.7565	0.0293455
PPAPDC1B	22.2308	11.0141	9.50605	33.4912	55.0265
PPAPDC2	1.96041	2.98406	2.51419	4.8784	3.44235
PPAPDC3	0	0.0955262	0.206589	0.37676	0.219488
PPARA	8.24629	2.24489	4.56868	1.67209	2.53298
PPARD	29.1971	5.16987	12.5104	8.1193	6.54841
PPARG	21.546	0.45734	67.0262	0.063659	2.70978
PPARGC1A	0.00791002	0.00635722	1.11324	2.35351	0.140768
PPARGC1B	0.571924	1.42435	2.10316	1.64323	4.56658
PPAT	5.73052	12.9013	12.7941	8.87837	17.0767
PPATP1	0.835421	2.2246	2.01105	1.51088	3.10963
PPBP	0	0	0	0	0
PPBPP1	0	0	0	0	0
PPBPP2	0	0	0	0	0
PPCDC	5.62235	12.4885	12.1823	24.8831	5.56408
PPCS	29.679	28.2804	22.6175	27.8629	20.3035
PPDPF	92.8216	200.379	57.7401	272.199	219.807
PPEF1	0	0.384485	0.210223	0	0
PPEF1-AS1	0	0	0	0	0
PPEF2	0	0	0	0	0
PPFIA1	27.0384	35.4439	30.4408	31.8593	65.5011
PPFIA2	0.124705	0.0225615	0.346154	0	0.0383711
PPFIA3	0.715671	11.375	1.09135	11.308	12.6879
PPFIA4	0.442095	2.7142	1.28385	0.193012	1.13628
PPFIBP1	31.8317	5.38401	20.4058	11.1866	11.3438
PPFIBP2	10.6342	17.2939	5.07789	4.69107	6.80787
PPHLN1	21.473	28.2045	33.1784	35.2583	33.8688
PPIA	208.754	150.049	281.459	435.324	257.208
PPIAL4A	1.57859	1.06202	2.16914	2.66889	1.80767
PPIAL4A	0	0	0	0	0
PPIAL4B	1.50542	1.06202	2.16513	2.68137	1.80546
PPIAL4C	1.5024	1.06202	2.18523	2.66843	1.80343
PPIAL4D	0	0	0.0146946	0	0
PPIAL4D	0	0	0	0	0
PPIAL4E	0	0	0	0	0
PPIAL4F	0	0	0.0276083	0	0
PPIAL4G	0.20144	0.198367	0.266462	1.11415	0.317789
PPIAL4G	0	0	0	0	0
PPIAP1	0	0	0	0	0
PPIAP10	0	0	0	0	0
PPIAP11	5.07045	4.3595	8.13723	10.7022	8.37925
PPIAP13	0	0.117663	0	0.145156	0.0406143
PPIAP14	0	0	0	0	0
PPIAP15	0	0	0	0	0
PPIAP16	0	0	0.0825826	0.0942117	0.0791031
PPIAP17	0	0	0	0	0
PPIAP19	8.71048	7.66001	11.6578	19.3216	10.5636
PPIAP2	0	0	0	0	0
PPIAP20	0	0	0	0	0
PPIAP21	0	0	0	0.045618	0
PPIAP22	714.394	560.031	949.918	1589.5	937.875
PPIAP23	0	0	0	0	0
PPIAP24	0	0	0	0	0
PPIAP25	0	0	0	0	0
PPIAP26	0	0	0	0	0
PPIAP27	0	0	0	0	0
PPIAP28	0	0	0	0	0
PPIAP29	101.519	63.1126	121.493	220.595	122.097
PPIAP3	0	0	0.156891	0.178958	0
PPIAP6	0.919456	0.62727	1.12486	3.05163	1.18731
PPIAP7	0	0	0	0	0
PPIAP9	0.331111	0.14801	0.245346	0.678381	0.362817
PPIAP9	0	0	0	0	0
PPIAP9	0	0	0	0	0
PPIAP9	0	0	0	0	0
PPIAP9	0	0	0	0	0
PPIAP9	0	0	0	0	0
PPIAP9	0	0	0	0	0
PPIAP9	0	0	0	0	0
PPIB	381.126	382.899	467.81	360.339	318.946
PPIC	31.0102	25.9805	14.1946	51.7219	26.8729
PPID	22.935	8.90957	31.9357	14.8021	29.4831
PPIE	20.9068	24.3172	23.4611	25.8069	15.7571
PPIEL	0	0.117397	0	0.186243	1.08E-10
PPIF	33.346	28.234	68.5181	74.6196	362.813
PPIG	19.295	16.3573	21.6031	11.8672	21.9219
PPIH	42.1695	27.825	43.0704	27.2979	50.6287
PPIHP1	2.26849	1.181	1.66342	0.485362	2.52091
PPIHP1	0	0	0	0	0
PPIL1	27.1771	14.3862	44.1627	37.16	24.6794
PPIL1P1	0	0	0	0	0
PPIL2	19.7743	27.0666	15.5988	22.7784	31.8948
PPIL3	31.814	52.6629	35.8222	22.5157	12.094
PPIL4	11.3313	11.7926	13.0554	9.06654	14.8219
PPIL6	1.68E-15	0.863818	0.0773359	0.276693	0.264114
PPIP5K1	3.12537	6.20891	7.20628	11.6148	6.37564
PPIP5K2	22.0105	7.29285	26.3375	11.7441	24.1336
